stateId	unique.str	composition	structure	fct	n
673	PIAB fasy  5 0	PIAB fasy 	5	0	40
674	LADE frex  9 0	LADE frex 	9	0	40
675	PIAB  11 1	PIAB 	11	1	16067
676	lade frex  2 0	lade frex 	2	0	92
677	piab fasy frex  9 1	piab fasy frex 	9	1	502
678	lade frex  7 1	lade frex 	7	1	183
679	LADE  10 1	LADE 	10	1	287
680	piab lade fasy acps  8 1	piab lade fasy acps 	8	1	31
681	frex alin  2 0	frex alin 	2	0	14
682	pisy  6 0	pisy 	6	0	39
683	FASY pisy  8 1	FASY pisy 	8	1	159
684	lade pisy  8 2	lade pisy 	8	2	204
685	lade fasy bepe  6 1	lade fasy bepe 	6	1	31
686	ALIN  2 0	ALIN 	2	0	26
687	FASY lade  6 2	FASY lade 	6	2	33
688	piab frex  6 1	piab frex 	6	1	339
689	FREX  5 1	FREX 	5	1	157
690	piab fasy frex  10 1	piab fasy frex 	10	1	134
691	fasy bepe  8 0	fasy bepe 	8	0	19
692	bepe  7 0	bepe 	7	0	16
693	FREX fasy  4 0	FREX fasy 	4	0	29
694	piab lade bepe  4 0	piab lade bepe 	4	0	16
695	abal lade  8 0	abal lade 	8	0	18
696	FASY piab  3 0	FASY piab 	3	0	20
697	FREX fasy  6 0	FREX fasy 	6	0	13
698	FREX lade  5 0	FREX lade 	5	0	16
699	piab lade  2 0	piab lade 	2	0	95
700	piab lade frex  2 0	piab lade frex 	2	0	37
701	PIAB fasy  11 2	PIAB fasy 	11	2	94621
702	PIAB frex  7 1	PIAB frex 	7	1	95
703	piab frex  8 1	piab frex 	8	1	444
704	PISY  5 2	PISY 	5	2	52
705	pisy fasy  9 2	pisy fasy 	9	2	2164
706	FASY pisy  5 1	FASY pisy 	5	1	10
707	lade bepe  7 1	lade bepe 	7	1	73
708	lade fasy frex  8 0	lade fasy frex 	8	0	94
709	LADE frex  7 1	LADE frex 	7	1	42
710	PIAB bepe  8 1	PIAB bepe 	8	1	48
711	PIAB frex  10 1	PIAB frex 	10	1	150
712	pisy fasy  8 2	pisy fasy 	8	2	1864
713	lade acps  7 1	lade acps 	7	1	45
714	frex bepe  5 0	frex bepe 	5	0	21
715	piab abal  8 0	piab abal 	8	0	26
716	piab pisy  10 2	piab pisy 	10	2	1051
717	FREX  2 1	FREX 	2	1	30
718	piab lade frex  8 1	piab lade frex 	8	1	85
719	piab lade frex  7 0	piab lade frex 	7	0	30
720	LADE bepe  7 1	LADE bepe 	7	1	24
721	PIAB lade  9 0	PIAB lade 	9	0	59
722	piab bepe  9 0	piab bepe 	9	0	78
723	abal lade  8 1	abal lade 	8	1	66
