id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
10938,79,9.76,55.8359815176989
10939,79,25.81,55.0464888228834
10940,79,26.49,51.4393536630978
10941,79,24.29,48.968890488635
10942,79,25.22,54.7288632766267
10943,95,18.8,52.7863620530372
10944,95,18.46,52.7863620530372
10945,148,19.14,52.7863620530372
10946,148,18.29,54.6588763556874
10947,148,18.29,54.6588763556874
10948,148,17.11,54.6588763556874
10949,148,22.18,51.9287056138109
10950,148,19.82,54.6588763556874
10951,148,19.82,54.6588763556874
10952,148,16.94,52.3992944029271
10953,97,16.77,59.0483297579334
10954,133,18.8,55.8359815176989
10955,133,19.48,55.8359815176989
10956,133,18.97,55.4886797156303
10957,82,17.79,55.4886797156303
10958,82,17.45,56.578824507721
10959,82,17.62,56.578824507721
10960,107,18.29,56.578824507721
10961,107,18.46,56.578824507721
10962,82,20.15,51.0625020454319
10963,149,23.96,53.8509026945465
10964,149,14.93,55.4886797156303
10965,149,25.65,53.954088247461
10966,149,37.53,53.5572081808838
10967,149,13.75,55.4886797156303
10968,149,11.62,55.4886797156303
10969,149,11.62,56.578824507721
10970,149,12.8,56.578824507721
10971,149,12.63,51.0625020454319
10972,149,12.97,55.4886797156303
10973,149,11.62,55.4886797156303
10974,63,3.71,55.8359815176989
10975,63,11.45,55.8359815176989
10976,149,8.41,55.8359815176989
10977,149,10.26,55.8359815176989
10978,149,12.29,55.4886797156303
10979,149,10.1,56.578824507721
10980,150,9.08,56.578824507721
10981,150,9.59,51.0625020454319
10982,150,19.09,55.4886797156303
10983,150,11.28,55.4886797156303
10984,150,10.77,51.0625020454319
10985,60,10.6,53.6104064817217
10986,51,12.46,51.9666672597476
10987,51,11.45,52.5489831484312
10988,151,10.26,55.1160613959976
10989,151,11.95,55.1160613959976
10990,151,11.11,53.8177210550257
10991,127,7.39,52.5489831484312
10992,127,5.57,54.3745350677331
10993,128,12.63,53.6104064817217
10994,71,10.94,53.6104064817217
10995,71,8.07,54.493417002876
10996,56,12.12,51.8264366731325
10997,106,10.1,53.118412877158
10998,106,11.62,53.0828832158492
10999,106,5.9,53.1046035105106
11000,106,10.77,45.3076179319551
11001,106,12.12,55.1160613959976
11002,106,6.07,53.118412877158
11003,106,10.6,53.118412877158
11004,106,10.77,53.118412877158
11005,106,11.62,45.3076179319551
11006,106,14.66,55.1160613959976
